iter,tau_e,Re_B,Re_T,Re_L,lambda_t,eta_cell,eta_domain,kmax_eta_cell,kmax_eta_domain,L_TKE,ils,eps0,TKE,u_rms,frac_x,frac_y,frac_z
119000,  4.656897E+03,  3.217128E+03,  8.785670E+01,  4.047920E+02,  1.398223E+01,  7.579948E-01,  9.301996E-03,  2.381311E+00,  2.381311E+00,  1.504517E+02,  6.442189E+01,  3.232588E-08,  2.870549E-04,  1.383365E-02,  3.307677E-01,  3.235966E-01,  3.456357E-01
120000,  4.954707E+03,  3.065242E+03,  8.572793E+01,  3.909724E+02,  1.431949E+01,  7.858570E-01,  9.643916E-03,  2.468843E+00,  2.468843E+00,  1.503472E+02,  6.530572E+01,  2.797958E-08,  2.605900E-04,  1.318054E-02,  3.314856E-01,  3.225852E-01,  3.459293E-01
121000,  5.254471E+03,  2.930856E+03,  8.428378E+01,  3.790674E+02,  1.472378E+01,  8.149381E-01,  1.000080E-02,  2.560204E+00,  2.560204E+00,  1.519879E+02,  6.622042E+01,  2.419450E-08,  2.382414E-04,  1.260268E-02,  3.306298E-01,  3.207380E-01,  3.486322E-01
122000,  5.542204E+03,  2.812152E+03,  8.312003E+01,  3.680938E+02,  1.513341E+01,  8.434536E-01,  1.035073E-02,  2.649788E+00,  2.649788E+00,  1.540593E+02,  6.701773E+01,  2.108485E-08,  2.193339E-04,  1.209225E-02,  3.304145E-01,  3.195959E-01,  3.499896E-01
123000,  5.818370E+03,  2.706867E+03,  8.207566E+01,  3.580417E+02,  1.552449E+01,  8.707379E-01,  1.068556E-02,  2.735504E+00,  2.735504E+00,  1.560549E+02,  6.772308E+01,  1.856374E-08,  2.032179E-04,  1.163953E-02,  3.291915E-01,  3.208279E-01,  3.499806E-01
124000,  6.091041E+03,  2.613400E+03,  8.130109E+01,  3.493829E+02,  1.592797E+01,  8.976138E-01,  1.101538E-02,  2.819937E+00,  2.819937E+00,  1.585997E+02,  6.844879E+01,  1.643831E-08,  1.894261E-04,  1.123762E-02,  3.290267E-01,  3.195648E-01,  3.514085E-01
125000,  6.356547E+03,  2.530854E+03,  8.075842E+01,  3.419431E+02,  1.633769E+01,  9.237916E-01,  1.133663E-02,  2.902177E+00,  2.902177E+00,  1.615936E+02,  6.917622E+01,  1.465275E-08,  1.776488E-04,  1.088267E-02,  3.283238E-01,  3.180414E-01,  3.536348E-01
126000,  6.609923E+03,  2.458113E+03,  8.060506E+01,  3.354274E+02,  1.678922E+01,  9.502251E-01,  1.166102E-02,  2.985220E+00,  2.985220E+00,  1.657442E+02,  6.986613E+01,  1.308909E-08,  1.675837E-04,  1.056989E-02,  3.267791E-01,  3.172326E-01,  3.559884E-01
127000,  6.849135E+03,  2.394007E+03,  8.059446E+01,  3.296744E+02,  1.723652E+01,  9.756056E-01,  1.197248E-02,  3.064955E+00,  3.064955E+00,  1.701377E+02,  7.050658E+01,  1.177926E-08,  1.589568E-04,  1.029423E-02,  3.258430E-01,  3.141884E-01,  3.599686E-01
128000,  7.073647E+03,  2.337479E+03,  8.072436E+01,  3.245916E+02,  1.768182E+01,  1.000004E+00,  1.227190E-02,  3.141605E+00,  3.141605E+00,  1.748144E+02,  7.109836E+01,  1.067108E-08,  1.515387E-04,  1.005116E-02,  3.261375E-01,  3.096060E-01,  3.642566E-01
129000,  7.279654E+03,  2.287821E+03,  8.101803E+01,  3.200025E+02,  1.813133E+01,  1.023566E+00,  1.256105E-02,  3.215628E+00,  3.215628E+00,  1.799107E+02,  7.161456E+01,  9.721909E-09,  1.451685E-04,  9.837631E-03,  3.256906E-01,  3.049522E-01,  3.693573E-01
130000,  7.471058E+03,  2.244255E+03,  8.130744E+01,  3.160277E+02,  1.854932E+01,  1.045298E+00,  1.282773E-02,  3.283900E+00,  3.283900E+00,  1.847157E+02,  7.209794E+01,  8.938305E-09,  1.396924E-04,  9.650298E-03,  3.249466E-01,  3.008751E-01,  3.741784E-01
131000,  7.646746E+03,  2.206074E+03,  8.167948E+01,  3.125470E+02,  1.895670E+01,  1.065819E+00,  1.307957E-02,  3.348370E+00,  3.348370E+00,  1.896363E+02,  7.253794E+01,  8.269537E-09,  1.349797E-04,  9.486119E-03,  3.244573E-01,  2.973205E-01,  3.782222E-01
132000,  7.802911E+03,  2.172827E+03,  8.204920E+01,  3.093893E+02,  1.933389E+01,  1.084574E+00,  1.330973E-02,  3.407290E+00,  3.407290E+00,  1.942850E+02,  7.290380E+01,  7.712200E-09,  1.309418E-04,  9.343155E-03,  3.245475E-01,  2.937322E-01,  3.817203E-01
133000,  7.938577E+03,  2.144118E+03,  8.267224E+01,  3.065057E+02,  1.974154E+01,  1.103261E+00,  1.353905E-02,  3.465997E+00,  3.465997E+00,  1.998878E+02,  7.319136E+01,  7.202811E-09,  1.275045E-04,  9.219708E-03,  3.248149E-01,  2.911288E-01,  3.840562E-01
134000,  8.058653E+03,  2.119488E+03,  8.334338E+01,  3.040346E+02,  2.013307E+01,  1.120603E+00,  1.375186E-02,  3.520477E+00,  3.520477E+00,  2.055071E+02,  7.344495E+01,  6.767192E-09,  1.245920E-04,  9.113800E-03,  3.254678E-01,  2.899171E-01,  3.846152E-01
135000,  8.165439E+03,  2.098483E+03,  8.397198E+01,  3.019875E+02,  2.048797E+01,  1.136080E+00,  1.394180E-02,  3.569100E+00,  3.569100E+00,  2.107069E+02,  7.368066E+01,  6.405895E-09,  1.221347E-04,  9.023477E-03,  3.262491E-01,  2.902467E-01,  3.835042E-01
136000,  8.258364E+03,  2.080660E+03,  8.464515E+01,  3.002582E+02,  2.082911E+01,  1.150395E+00,  1.411747E-02,  3.614073E+00,  3.614073E+00,  2.159327E+02,  7.388626E+01,  6.092946E-09,  1.200689E-04,  8.946840E-03,  3.280418E-01,  2.917722E-01,  3.801860E-01
137000,  8.335804E+03,  2.065792E+03,  8.545609E+01,  2.987579E+02,  2.118002E+01,  1.164212E+00,  1.428703E-02,  3.657479E+00,  3.657479E+00,  2.216740E+02,  7.404617E+01,  5.808813E-09,  1.183591E-04,  8.882907E-03,  3.308921E-01,  2.940987E-01,  3.750092E-01
138000,  8.397388E+03,  2.053698E+03,  8.642555E+01,  2.974514E+02,  2.154644E+01,  1.177692E+00,  1.445245E-02,  3.699827E+00,  3.699827E+00,  2.280674E+02,  7.415652E+01,  5.547394E-09,  1.169773E-04,  8.830903E-03,  3.347444E-01,  2.958928E-01,  3.693628E-01
139000,  8.442568E+03,  2.044189E+03,  8.751784E+01,  2.962888E+02,  2.192025E+01,  1.190623E+00,  1.461115E-02,  3.740453E+00,  3.740453E+00,  2.349566E+02,  7.421029E+01,  5.310284E-09,  1.158965E-04,  8.790013E-03,  3.387517E-01,  2.966823E-01,  3.645660E-01
140000,  8.473714E+03,  2.037091E+03,  8.870835E+01,  2.953202E+02,  2.229585E+01,  1.202871E+00,  1.476145E-02,  3.778930E+00,  3.778930E+00,  2.422335E+02,  7.422543E+01,  5.097290E-09,  1.150930E-04,  8.759491E-03,  3.422599E-01,  2.970624E-01,  3.606778E-01
141000,  8.493273E+03,  2.032167E+03,  8.978645E+01,  2.945726E+02,  2.262150E+01,  1.213090E+00,  1.488686E-02,  3.811036E+00,  3.811036E+00,  2.487585E+02,  7.421693E+01,  4.927681E-09,  1.145373E-04,  8.738318E-03,  3.450480E-01,  2.982737E-01,  3.566783E-01
142000,  8.500149E+03,  2.029099E+03,  9.083437E+01,  2.939217E+02,  2.292012E+01,  1.221994E+00,  1.499612E-02,  3.839007E+00,  3.839007E+00,  2.549839E+02,  7.416488E+01,  4.785631E-09,  1.141917E-04,  8.725126E-03,  3.464380E-01,  3.010609E-01,  3.525012E-01
143000,  8.495445E+03,  2.027738E+03,  9.188541E+01,  2.933650E+02,  2.320090E+01,  1.229868E+00,  1.509276E-02,  3.863746E+00,  3.863746E+00,  2.610941E+02,  7.407410E+01,  4.664237E-09,  1.140386E-04,  8.719273E-03,  3.474424E-01,  3.034270E-01,  3.491306E-01
144000,  8.480871E+03,  2.027917E+03,  9.289558E+01,  2.929133E+02,  2.345389E+01,  1.236501E+00,  1.517416E-02,  3.884584E+00,  3.884584E+00,  2.668428E+02,  7.395354E+01,  4.564960E-09,  1.140587E-04,  8.720041E-03,  3.484467E-01,  3.045555E-01,  3.469978E-01
145000,  8.459750E+03,  2.029416E+03,  9.380842E+01,  2.926159E+02,  2.366687E+01,  1.241644E+00,  1.523726E-02,  3.900739E+00,  3.900739E+00,  2.719119E+02,  7.382390E+01,  4.489800E-09,  1.142273E-04,  8.726487E-03,  3.497827E-01,  3.048888E-01,  3.453285E-01
146000,  8.434868E+03,  2.032092E+03,  9.470891E+01,  2.925252E+02,  2.386259E+01,  1.245946E+00,  1.529006E-02,  3.914255E+00,  3.914255E+00,  2.767923E+02,  7.370383E+01,  4.428108E-09,  1.145288E-04,  8.737994E-03,  3.517428E-01,  3.051113E-01,  3.431459E-01
147000,  8.406115E+03,  2.035829E+03,  9.551958E+01,  2.926014E+02,  2.402266E+01,  1.248970E+00,  1.532717E-02,  3.923756E+00,  3.923756E+00,  2.810342E+02,  7.358768E+01,  4.385377E-09,  1.149505E-04,  8.754064E-03,  3.537509E-01,  3.054160E-01,  3.408331E-01
148000,  8.373659E+03,  2.040473E+03,  9.621395E+01,  2.928029E+02,  2.414222E+01,  1.250649E+00,  1.534777E-02,  3.929029E+00,  3.929029E+00,  2.844860E+02,  7.347076E+01,  4.361880E-09,  1.154755E-04,  8.774033E-03,  3.564400E-01,  3.053432E-01,  3.382168E-01
149000,  8.337176E+03,  2.045925E+03,  9.692110E+01,  2.930872E+02,  2.425485E+01,  1.251891E+00,  1.536302E-02,  3.932932E+00,  3.932932E+00,  2.879138E+02,  7.334612E+01,  4.344591E-09,  1.160934E-04,  8.797478E-03,  3.595388E-01,  3.046463E-01,  3.358149E-01
150000,  8.295091E+03,  2.052191E+03,  9.775704E+01,  2.933968E+02,  2.438935E+01,  1.253439E+00,  1.538202E-02,  3.937796E+00,  3.937796E+00,  2.920074E+02,  7.319939E+01,  4.323166E-09,  1.168056E-04,  8.824423E-03,  3.618654E-01,  3.037277E-01,  3.344069E-01
151000,  8.245690E+03,  2.059252E+03,  9.866669E+01,  2.936597E+02,  2.453190E+01,  1.254940E+00,  1.540043E-02,  3.942511E+00,  3.942511E+00,  2.964472E+02,  7.301379E+01,  4.302523E-09,  1.176107E-04,  8.854782E-03,  3.624153E-01,  3.031626E-01,  3.344221E-01
152000,  8.188924E+03,  2.067093E+03,  9.970818E+01,  2.938632E+02,  2.469681E+01,  1.256761E+00,  1.542277E-02,  3.948230E+00,  3.948230E+00,  3.015901E+02,  7.278723E+01,  4.277646E-09,  1.185081E-04,  8.888498E-03,  3.608327E-01,  3.042110E-01,  3.349563E-01
153000,  8.128811E+03,  2.075627E+03,  1.006566E+02,  2.941197E+02,  2.482921E+01,  1.257532E+00,  1.543224E-02,  3.950653E+00,  3.950653E+00,  3.060912E+02,  7.255122E+01,  4.267162E-09,  1.194886E-04,  8.925195E-03,  3.574600E-01,  3.079307E-01,  3.346092E-01
154000,  8.068547E+03,  2.084658E+03,  1.014490E+02,  2.944852E+02,  2.491627E+01,  1.257003E+00,  1.542575E-02,  3.948991E+00,  3.948991E+00,  3.095826E+02,  7.232669E+01,  4.274350E-09,  1.205307E-04,  8.964029E-03,  3.541449E-01,  3.122250E-01,  3.336301E-01
155000,  8.013316E+03,  2.094029E+03,  1.020918E+02,  2.951047E+02,  2.496193E+01,  1.255336E+00,  1.540529E-02,  3.943754E+00,  3.943754E+00,  3.121149E+02,  7.215450E+01,  4.297102E-09,  1.216168E-04,  9.004324E-03,  3.519562E-01,  3.151410E-01,  3.329028E-01
156000,  7.967167E+03,  2.103573E+03,  1.024987E+02,  2.960859E+02,  2.494771E+01,  1.252128E+00,  1.536592E-02,  3.933676E+00,  3.933676E+00,  3.131805E+02,  7.206594E+01,  4.341309E-09,  1.227280E-04,  9.045366E-03,  3.514506E-01,  3.166232E-01,  3.319262E-01
157000,  7.928749E+03,  2.113079E+03,  1.027483E+02,  2.973271E+02,  2.489595E+01,  1.248012E+00,  1.531541E-02,  3.920745E+00,  3.920745E+00,  3.132917E+02,  7.204250E+01,  4.398863E-09,  1.238396E-04,  9.086239E-03,  3.516427E-01,  3.182264E-01,  3.301309E-01
158000,  7.893578E+03,  2.122427E+03,  1.028660E+02,  2.986332E+02,  2.481469E+01,  1.243226E+00,  1.525668E-02,  3.905711E+00,  3.905711E+00,  3.126269E+02,  7.204025E+01,  4.466985E-09,  1.249378E-04,  9.126438E-03,  3.514778E-01,  3.197174E-01,  3.288049E-01
159000,  7.859382E+03,  2.131464E+03,  1.028118E+02,  2.998769E+02,  2.469646E+01,  1.237629E+00,  1.518800E-02,  3.888127E+00,  3.888127E+00,  3.109734E+02,  7.203356E+01,  4.548342E-09,  1.260040E-04,  9.165296E-03,  3.515545E-01,  3.192199E-01,  3.292256E-01
