 # Final DNS Isotropy Validation Summary
 # Generated by Fortran LBM simulation
 #
# Total samples:      301
# Start time:    50000
 #
 # Component  Mean      StdDev    Deviation_from_1/3
Ux          0.327773  0.018048  0.005560
Uy          0.336097  0.027862  0.002764
Uz          0.336130  0.025800  0.002796
 #
# Max deviation:   0.005560
# Status: PASSED
