iter,tau_e,Re_B,Re_T,Re_L,lambda_t,eta_cell,eta_domain,kmax_eta_cell,kmax_eta_domain,L_TKE,ils,eps0,TKE,u_rms,frac_x,frac_y,frac_z
100000,  2.456880E+03,  4.066994E+02,  4.373747E+01,  9.101191E+01,  1.376544E+01,  1.057646E+00,  5.191710E-02,  3.322694E+00,  3.322694E+00,  7.373766E+01,  2.864407E+01,  3.948204E-08,  2.038885E-04,  1.165872E-02,  5.004762E-01,  2.489009E-01,  2.506228E-01
101000,  2.503733E+03,  3.816367E+02,  4.002787E+01,  8.166865E+01,  1.342525E+01,  1.078247E+00,  5.292834E-02,  3.387414E+00,  3.387414E+00,  6.581585E+01,  2.739147E+01,  3.655007E-08,  1.795336E-04,  1.094025E-02,  4.953516E-01,  2.639915E-01,  2.406569E-01
102000,  2.757851E+03,  3.460143E+02,  3.501192E+01,  7.394796E+01,  1.295185E+01,  1.112247E+00,  5.459728E-02,  3.494226E+00,  3.494226E+00,  5.553842E+01,  2.735534E+01,  3.228176E-08,  1.475821E-04,  9.919077E-03,  4.326145E-01,  3.377193E-01,  2.296662E-01
103000,  2.648262E+03,  3.411588E+02,  3.609573E+01,  6.903059E+01,  1.354282E+01,  1.145403E+00,  5.622485E-02,  3.598391E+00,  3.598391E+00,  5.987017E+01,  2.589971E+01,  2.870304E-08,  1.434693E-04,  9.779887E-03,  4.769225E-01,  2.845632E-01,  2.385143E-01
104000,  2.650358E+03,  3.257813E+02,  3.468747E+01,  6.299759E+01,  1.362877E+01,  1.175838E+00,  5.771880E-02,  3.694003E+00,  3.694003E+00,  5.789949E+01,  2.475186E+01,  2.584473E-08,  1.308271E-04,  9.339062E-03,  5.020097E-01,  2.356049E-01,  2.623852E-01
105000,  2.788927E+03,  3.203441E+02,  3.501406E+01,  6.409700E+01,  1.399058E+01,  1.201411E+00,  5.897414E-02,  3.774345E+00,  3.774345E+00,  5.999622E+01,  2.561126E+01,  2.371345E-08,  1.264967E-04,  9.183197E-03,  4.930601E-01,  2.565382E-01,  2.504016E-01
106000,  2.719237E+03,  3.253432E+02,  3.711792E+01,  6.446111E+01,  1.460333E+01,  1.217972E+00,  5.978705E-02,  3.826371E+00,  3.826371E+00,  6.638668E+01,  2.536098E+01,  2.244981E-08,  1.304756E-04,  9.326505E-03,  4.531989E-01,  2.586391E-01,  2.881620E-01
107000,  2.780665E+03,  3.402291E+02,  3.965838E+01,  7.208729E+01,  1.492016E+01,  1.203880E+00,  5.909533E-02,  3.782101E+00,  3.782101E+00,  7.246930E+01,  2.712047E+01,  2.351953E-08,  1.426883E-04,  9.753234E-03,  4.693752E-01,  2.895960E-01,  2.410289E-01
108000,  2.921481E+03,  3.503349E+02,  4.150177E+01,  8.030402E+01,  1.516328E+01,  1.196016E+00,  5.870931E-02,  3.757396E+00,  3.757396E+00,  7.707355E+01,  2.934025E+01,  2.414423E-08,  1.512908E-04,  1.004293E-02,  4.490055E-01,  3.112685E-01,  2.397260E-01
109000,  2.633741E+03,  3.691076E+02,  4.427243E+01,  8.036118E+01,  1.535290E+01,  1.172467E+00,  5.755336E-02,  3.683415E+00,  3.683415E+00,  8.324712E+01,  2.786784E+01,  2.614317E-08,  1.679391E-04,  1.058109E-02,  4.358297E-01,  2.989367E-01,  2.652336E-01
110000,  2.426195E+03,  3.576959E+02,  4.143312E+01,  6.952176E+01,  1.482667E+01,  1.170434E+00,  5.745356E-02,  3.677028E+00,  3.677028E+00,  7.523795E+01,  2.487807E+01,  2.632530E-08,  1.577152E-04,  1.025395E-02,  4.489368E-01,  2.936184E-01,  2.574448E-01
111000,  2.831443E+03,  3.386463E+02,  3.769586E+01,  7.272230E+01,  1.424811E+01,  1.179201E+00,  5.788388E-02,  3.704568E+00,  3.704568E+00,  6.578041E+01,  2.748725E+01,  2.555116E-08,  1.413638E-04,  9.707860E-03,  4.261651E-01,  3.100457E-01,  2.637892E-01
112000,  2.790569E+03,  3.606988E+02,  4.308065E+01,  8.131103E+01,  1.528789E+01,  1.183542E+00,  5.809697E-02,  3.718206E+00,  3.718206E+00,  8.066321E+01,  2.885458E+01,  2.517835E-08,  1.603744E-04,  1.034003E-02,  4.558257E-01,  3.189299E-01,  2.252444E-01
113000,  2.419126E+03,  4.090972E+02,  5.269648E+01,  9.067314E+01,  1.648789E+01,  1.154121E+00,  5.665280E-02,  3.625779E+00,  3.625779E+00,  1.064124E+02,  2.837018E+01,  2.784555E-08,  2.062997E-04,  1.172745E-02,  5.374250E-01,  2.511036E-01,  2.114714E-01
114000,  2.048600E+03,  4.945593E+02,  6.544820E+01,  1.122177E+02,  1.693906E+01,  1.063941E+00,  5.222609E-02,  3.342470E+00,  3.342470E+00,  1.357790E+02,  2.904376E+01,  3.855592E-08,  3.014966E-04,  1.417737E-02,  5.533924E-01,  2.043431E-01,  2.422645E-01
115000,  2.197301E+03,  4.641841E+02,  5.343921E+01,  1.060321E+02,  1.473600E+01,  1.024299E+00,  5.028018E-02,  3.217932E+00,  3.217932E+00,  9.644626E+01,  2.923862E+01,  4.488010E-08,  2.655988E-04,  1.330661E-02,  5.502123E-01,  2.131094E-01,  2.366784E-01
116000,  2.163783E+03,  4.461417E+02,  4.783131E+01,  9.645539E+01,  1.372301E+01,  1.008255E+00,  4.949262E-02,  3.167528E+00,  3.167528E+00,  8.039098E+01,  2.767348E+01,  4.780568E-08,  2.453529E-04,  1.278939E-02,  5.198923E-01,  2.287846E-01,  2.513232E-01
