iter,tau_e,Re_B,Re_T,Re_L,lambda_t,eta_cell,eta_domain,kmax_eta_cell,kmax_eta_domain,L_TKE,ils,eps0,TKE,u_rms,frac_x,frac_y,frac_z
119000,  2.378488E+03,  4.970298E+02,  5.911465E+01,  1.315931E+02,  1.522378E+01,  1.006126E+00,  4.938808E-02,  3.160837E+00,  3.160837E+00,  1.102208E+02,  3.388915E+01,  4.821172E-08,  3.045164E-04,  1.424819E-02,  2.369251E-01,  3.170185E-01,  4.460564E-01
120000,  2.447775E+03,  4.875836E+02,  5.698429E+01,  1.303278E+02,  1.495946E+01,  1.006968E+00,  4.942942E-02,  3.163483E+00,  3.163483E+00,  1.044039E+02,  3.421352E+01,  4.805063E-08,  2.930515E-04,  1.397740E-02,  2.328900E-01,  3.021960E-01,  4.649141E-01
121000,  2.509182E+03,  4.775405E+02,  5.535607E+01,  1.281503E+02,  1.483765E+01,  1.013350E+00,  4.974272E-02,  3.183534E+00,  3.183534E+00,  1.005949E+02,  3.434943E+01,  4.685145E-08,  2.811034E-04,  1.368949E-02,  2.374997E-01,  2.756214E-01,  4.868789E-01
122000,  2.582421E+03,  4.695515E+02,  5.562408E+01,  1.275148E+02,  1.516315E+01,  1.033083E+00,  5.071136E-02,  3.245527E+00,  3.245527E+00,  1.032995E+02,  3.476062E+01,  4.337308E-08,  2.717767E-04,  1.346048E-02,  2.493134E-01,  2.631355E-01,  4.875511E-01
123000,  2.677175E+03,  4.661317E+02,  5.731824E+01,  1.302750E+02,  1.573962E+01,  1.056392E+00,  5.185551E-02,  3.318753E+00,  3.318753E+00,  1.104925E+02,  3.577359E+01,  3.966995E-08,  2.678322E-04,  1.336244E-02,  2.687805E-01,  2.600188E-01,  4.712006E-01
124000,  2.769278E+03,  4.688487E+02,  6.080074E+01,  1.363324E+02,  1.659916E+01,  1.081705E+00,  5.309808E-02,  3.398277E+00,  3.398277E+00,  1.236063E+02,  3.722001E+01,  3.608494E-08,  2.709637E-04,  1.344033E-02,  2.864050E-01,  2.723480E-01,  4.412469E-01
125000,  2.805780E+03,  4.773302E+02,  6.503202E+01,  1.431722E+02,  1.743887E+01,  1.098833E+00,  5.393885E-02,  3.452087E+00,  3.452087E+00,  1.388965E+02,  3.839279E+01,  3.388709E-08,  2.808559E-04,  1.368347E-02,  3.040875E-01,  3.032285E-01,  3.926840E-01
126000,  2.752814E+03,  4.890222E+02,  6.857597E+01,  1.474352E+02,  1.794954E+01,  1.101399E+00,  5.406478E-02,  3.460146E+00,  3.460146E+00,  1.507547E+02,  3.859070E+01,  3.357249E-08,  2.947833E-04,  1.401864E-02,  3.118499E-01,  3.444242E-01,  3.437259E-01
127000,  2.664799E+03,  5.016400E+02,  7.234245E+01,  1.501814E+02,  1.845912E+01,  1.102787E+00,  5.413292E-02,  3.464507E+00,  3.464507E+00,  1.635497E+02,  3.832073E+01,  3.340376E-08,  3.101916E-04,  1.438035E-02,  2.917516E-01,  3.905783E-01,  3.176700E-01
128000,  2.576477E+03,  5.136227E+02,  7.380797E+01,  1.522236E+02,  1.839370E+01,  1.087914E+00,  5.340286E-02,  3.417783E+00,  3.417783E+00,  1.662715E+02,  3.793566E+01,  3.526820E-08,  3.251877E-04,  1.472385E-02,  2.794892E-01,  3.999193E-01,  3.205916E-01
