 # Final DNS Isotropy Validation Summary
 # Generated by Fortran LBM simulation
 #
# Total samples:      901
# Start time:    50000
 #
 # Component  Mean      StdDev    Deviation_from_1/3
Ux          0.335479  0.023033  0.002145
Uy          0.336073  0.025866  0.002740
Uz          0.328448  0.017804  0.004886
 #
# Max deviation:   0.004886
# Status: PASSED
