Row 01:    1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,
Row 02:  -11, -11, -11, -11, -11, -11,   8,   8,   8,   8,   8,   8,   8,   8,   8,   8,   8,   8, -30,
Row 03:   -4,  -4,  -4,  -4,  -4,  -4,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,  12,
Row 04:    1,  -1,   0,   0,   0,   0,   1,  -1,   1,  -1,   0,   0,   0,   0,   1,  -1,   1,  -1,   0,
Row 05:   -4,   4,   0,   0,   0,   0,   1,  -1,   1,  -1,   0,   0,   0,   0,   1,  -1,   1,  -1,   0,
Row 06:    0,   0,   1,  -1,   0,   0,   1,  -1,  -1,   1,   1,  -1,   1,  -1,   0,   0,   0,   0,   0,
Row 07:    0,   0,  -4,   4,   0,   0,   1,  -1,  -1,   1,   1,  -1,   1,  -1,   0,   0,   0,   0,   0,
Row 08:    0,   0,   0,   0,   1,  -1,   0,   0,   0,   0,   1,  -1,  -1,   1,   1,  -1,  -1,   1,   0,
Row 09:    0,   0,   0,   0,  -4,   4,   0,   0,   0,   0,   1,  -1,  -1,   1,   1,  -1,  -1,   1,   0,
Row 10:    2,   2,  -1,  -1,  -1,  -1,   1,   1,   1,   1,  -2,  -2,  -2,  -2,   1,   1,   1,   1,   0,
Row 11:   -4,  -4,   2,   2,   2,   2,   1,   1,   1,   1,  -2,  -2,  -2,  -2,   1,   1,   1,   1,   0,
Row 12:    0,   0,   1,   1,  -1,  -1,   1,   1,   1,   1,   0,   0,   0,   0,  -1,  -1,  -1,  -1,   0,
Row 13:    0,   0,  -2,  -2,   2,   2,   1,   1,   1,   1,   0,   0,   0,   0,  -1,  -1,  -1,  -1,   0,
Row 14:    0,   0,   0,   0,   0,   0,   1,   1,  -1,  -1,   0,   0,   0,   0,   0,   0,   0,   0,   0,
Row 15:    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,  -1,  -1,   0,   0,   0,   0,   0,
Row 16:    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   1,   1,  -1,  -1,   0,
Row 17:    0,   0,   0,   0,   0,   0,   1,  -1,   1,  -1,   0,   0,   0,   0,  -1,   1,  -1,   1,   0,
Row 18:    0,   0,   0,   0,   0,   0,  -1,   1,   1,  -1,   1,  -1,   1,  -1,   0,   0,   0,   0,   0,
Row 19:    0,   0,   0,   0,   0,   0,   0,   0,   0,   0,  -1,   1,   1,  -1,   1,  -1,  -1,   1,   0,
