iter,tau_e,Re_B,Re_T,Re_L,lambda_t,eta_cell,eta_domain,kmax_eta_cell,kmax_eta_domain,L_TKE,ils,eps0,TKE,u_rms,frac_x,frac_y,frac_z
119000,  1.253458E+03,  4.398271E+02,  4.755048E+01,  8.145769E+01,  6.919153E+00,  5.098620E-01,  5.005559E-02,  1.601779E+00,  1.601779E+00,  4.029520E+01,  1.185305E+01,  3.855181E-08,  1.341319E-04,  9.456282E-03,  2.984492E-01,  3.169321E-01,  3.846187E-01
120000,  1.240664E+03,  4.347715E+02,  4.579590E+01,  7.878340E+01,  6.741330E+00,  5.061852E-01,  4.969462E-02,  1.590228E+00,  1.590228E+00,  3.781097E+01,  1.159721E+01,  3.968419E-08,  1.310660E-04,  9.347586E-03,  3.212330E-01,  3.124042E-01,  3.663628E-01
121000,  1.230740E+03,  4.296404E+02,  4.459961E+01,  7.631944E+01,  6.643637E+00,  5.054958E-01,  4.962694E-02,  1.588062E+00,  1.588062E+00,  3.628963E+01,  1.136868E+01,  3.990112E-08,  1.279907E-04,  9.237269E-03,  3.538756E-01,  3.070673E-01,  3.390571E-01
122000,  1.215229E+03,  4.287762E+02,  4.477890E+01,  7.505470E+01,  6.683790E+00,  5.075318E-01,  4.982682E-02,  1.594458E+00,  1.594458E+00,  3.665573E+01,  1.120282E+01,  3.926470E-08,  1.274763E-04,  9.218687E-03,  3.720989E-01,  3.495538E-01,  2.783473E-01
123000,  1.197080E+03,  4.276455E+02,  4.373384E+01,  7.354438E+01,  6.545061E+00,  5.029005E-01,  4.937214E-02,  1.579908E+00,  1.579908E+00,  3.505718E+01,  1.100641E+01,  4.073118E-08,  1.268049E-04,  9.194378E-03,  3.685960E-01,  3.595786E-01,  2.718253E-01
124000,  1.224329E+03,  4.202131E+02,  4.229994E+01,  7.262665E+01,  6.442436E+00,  5.033353E-01,  4.941483E-02,  1.581275E+00,  1.581275E+00,  3.337610E+01,  1.106130E+01,  4.059061E-08,  1.224355E-04,  9.034582E-03,  3.615493E-01,  3.519769E-01,  2.864739E-01
125000,  1.254887E+03,  4.135995E+02,  4.192678E+01,  7.211461E+01,  6.487710E+00,  5.091231E-01,  4.998305E-02,  1.599458E+00,  1.599458E+00,  3.331413E+01,  1.115895E+01,  3.877608E-08,  1.186119E-04,  8.892390E-03,  3.747460E-01,  3.518285E-01,  2.734255E-01
126000,  1.250120E+03,  4.180984E+02,  4.369873E+01,  7.341199E+01,  6.689141E+00,  5.141776E-01,  5.047927E-02,  1.615337E+00,  1.615337E+00,  3.580015E+01,  1.123747E+01,  3.727373E-08,  1.212063E-04,  8.989115E-03,  3.955259E-01,  3.148307E-01,  2.896434E-01
127000,  1.215965E+03,  4.331751E+02,  4.630923E+01,  7.664902E+01,  6.842016E+00,  5.108901E-01,  5.015652E-02,  1.605008E+00,  1.605008E+00,  3.880585E+01,  1.132461E+01,  3.824242E-08,  1.301053E-04,  9.313264E-03,  3.896063E-01,  2.839550E-01,  3.264386E-01
128000,  1.148034E+03,  4.529742E+02,  4.948473E+01,  7.913345E+01,  6.991618E+00,  5.050324E-01,  4.958144E-02,  1.586606E+00,  1.586606E+00,  4.237351E+01,  1.118064E+01,  4.004776E-08,  1.422706E-04,  9.738945E-03,  3.698412E-01,  2.783961E-01,  3.517628E-01
129000,  1.111792E+03,  4.662445E+02,  5.011433E+01,  8.119129E+01,  6.879046E+00,  4.937697E-01,  4.847573E-02,  1.551223E+00,  1.551223E+00,  4.222172E+01,  1.114489E+01,  4.382859E-08,  1.507286E-04,  1.002426E-02,  3.753125E-01,  2.754287E-01,  3.492588E-01
130000,  1.111743E+03,  4.701871E+02,  4.947134E+01,  8.256657E+01,  6.733842E+00,  4.864781E-01,  4.775988E-02,  1.528316E+00,  1.528316E+00,  4.080019E+01,  1.123864E+01,  4.651598E-08,  1.532885E-04,  1.010902E-02,  3.680945E-01,  3.118335E-01,  3.200719E-01
131000,  1.119912E+03,  4.701096E+02,  4.826443E+01,  8.314583E+01,  6.570646E+00,  4.805866E-01,  4.718148E-02,  1.509807E+00,  1.509807E+00,  3.884014E+01,  1.131935E+01,  4.883921E-08,  1.532379E-04,  1.010736E-02,  3.385454E-01,  3.118590E-01,  3.495956E-01
132000,  1.143850E+03,  4.649895E+02,  4.731699E+01,  8.308334E+01,  6.512594E+00,  4.810859E-01,  4.723050E-02,  1.511376E+00,  1.511376E+00,  3.774128E+01,  1.143539E+01,  4.863680E-08,  1.499182E-04,  9.997274E-03,  3.271540E-01,  2.817688E-01,  3.910771E-01
133000,  1.141840E+03,  4.601682E+02,  4.807557E+01,  8.122634E+01,  6.686330E+00,  4.900076E-01,  4.810638E-02,  1.539404E+00,  1.539404E+00,  3.936931E+01,  1.129693E+01,  4.519019E-08,  1.468254E-04,  9.893616E-03,  3.317015E-01,  3.029652E-01,  3.653333E-01
134000,  1.103910E+03,  4.622132E+02,  4.829179E+01,  7.922767E+01,  6.686686E+00,  4.889354E-01,  4.800112E-02,  1.536036E+00,  1.536036E+00,  3.954848E+01,  1.097020E+01,  4.558790E-08,  1.481334E-04,  9.937584E-03,  3.380471E-01,  3.195427E-01,  3.424101E-01
135000,  1.088557E+03,  4.583281E+02,  4.635768E+01,  7.681792E+01,  6.473291E+00,  4.831049E-01,  4.742872E-02,  1.517719E+00,  1.517719E+00,  3.675296E+01,  1.072670E+01,  4.782880E-08,  1.456536E-04,  9.854055E-03,  3.512625E-01,  2.815453E-01,  3.671922E-01
136000,  1.125536E+03,  4.414116E+02,  4.241681E+01,  7.367247E+01,  6.149987E+00,  4.798245E-01,  4.710666E-02,  1.507413E+00,  1.507413E+00,  3.194903E+01,  1.068173E+01,  4.915025E-08,  1.351001E-04,  9.490349E-03,  3.639581E-01,  2.770031E-01,  3.590387E-01
137000,  1.208183E+03,  4.186801E+02,  4.041953E+01,  7.114692E+01,  6.178583E+00,  4.938220E-01,  4.848086E-02,  1.551388E+00,  1.551388E+00,  3.058622E+01,  1.087561E+01,  4.381003E-08,  1.215438E-04,  9.001623E-03,  3.205065E-01,  3.160442E-01,  3.634493E-01
138000,  1.248776E+03,  4.061791E+02,  3.991540E+01,  6.921146E+01,  6.289309E+00,  5.058361E-01,  4.966035E-02,  1.589131E+00,  1.589131E+00,  3.074602E+01,  1.090537E+01,  3.979385E-08,  1.143940E-04,  8.732851E-03,  3.239205E-01,  3.155783E-01,  3.605013E-01
139000,  1.214988E+03,  4.068534E+02,  4.071251E+01,  6.756261E+01,  6.404273E+00,  5.100151E-01,  5.007062E-02,  1.602260E+00,  1.602260E+00,  3.193326E+01,  1.062792E+01,  3.850552E-08,  1.147742E-04,  8.747349E-03,  3.602472E-01,  3.093174E-01,  3.304353E-01
140000,  1.184580E+03,  4.165401E+02,  4.287983E+01,  6.904568E+01,  6.588342E+00,  5.112423E-01,  5.019110E-02,  1.606115E+00,  1.606115E+00,  3.459989E+01,  1.060864E+01,  3.813714E-08,  1.203045E-04,  8.955613E-03,  3.451643E-01,  3.428749E-01,  3.119609E-01
141000,  1.146705E+03,  4.351697E+02,  4.661167E+01,  7.295036E+01,  6.855134E+00,  5.102062E-01,  5.008938E-02,  1.602860E+00,  1.602860E+00,  3.913417E+01,  1.072874E+01,  3.844786E-08,  1.313063E-04,  9.356149E-03,  3.323685E-01,  3.419205E-01,  3.257109E-01
142000,  1.105868E+03,  4.535282E+02,  4.786424E+01,  7.641355E+01,  6.754401E+00,  4.960876E-01,  4.870329E-02,  1.558505E+00,  1.558505E+00,  3.959530E+01,  1.078316E+01,  4.301517E-08,  1.426188E-04,  9.750857E-03,  2.999133E-01,  3.467962E-01,  3.532905E-01
143000,  1.087771E+03,  4.636930E+02,  4.792447E+01,  7.857003E+01,  6.614647E+00,  4.855179E-01,  4.766561E-02,  1.525299E+00,  1.525299E+00,  3.882484E+01,  1.084442E+01,  4.688505E-08,  1.490834E-04,  9.969400E-03,  3.005961E-01,  3.407080E-01,  3.586959E-01
144000,  1.094345E+03,  4.690818E+02,  4.935222E+01,  8.089285E+01,  6.733457E+00,  4.870369E-01,  4.781474E-02,  1.530072E+00,  1.530072E+00,  4.069962E+01,  1.103676E+01,  4.630285E-08,  1.525687E-04,  1.008526E-02,  2.861458E-01,  3.709934E-01,  3.428608E-01
